coin, price, percentChange1h, percentChange24h, percentChange7d
Bitcoin, 6577.24181306, -0.12, -0.46, 2.08
Ethereum, 228.557378873, -0.46, -0.89, 7.34
XRP, 0.5565100083, -0.47, -4.7, 21.87
Bitcoin Cash, 537.64941208, -0.63, 0.46, 21.95
EOS, 5.6597042458, -0.25, -0.2, 8.51
Stellar, 0.2557290236, -0.35, -2.11, 6.81
Litecoin, 60.5912879573, -0.38, -0.37, 8.44
Tether, 0.9970192498, -0.13, -0.25, -0.46
Cardano, 0.0833333474, -0.35, -1.86, 7.76
Monero, 114.258343922, 0.09, -0.49, 0.51
IOTA, 0.5637886703, -0.4, -1.14, 4.5
Dash, 186.290823844, -0.4, -0.24, 0.3
TRON, 0.0220144903, -0.67, -0.44, 6.44
NEO, 18.5295408059, -0.41, -1.27, 5.6
Ethereum Classic, 11.1989495542, -0.27, -0.54, 5.16
Binance Coin, 9.9092236588, -0.17, -0.2, 2.41
NEM, 0.1121257286, 0.91, 14.33, 20.72
Tezos, 1.339907777, -0.32, -4.39, -9.32
VeChain, 0.0132486548, 0.18, 2.63, 5.65
Dogecoin, 0.0058838416, -0.67, -1.5, 3.35
Zcash, 128.08075862, 0.76, -2.44, -2.46
OmiseGO, 3.5961957022, -0.56, -1.29, 9.51
Bitcoin Gold, 25.3507129508, -0.67, -1.63, 17.47
Bytecoin, 0.002301559, -0.07, 5.45, 11.01
Lisk, 3.4118767404, -0.11, 0.41, 4.73
Ontology, 1.9844112765, -0.15, -0.13, 10.12
Maker, 491.375246817, 1.52, 1.26, 13.44
0x, 0.6406698948, -0.77, -0.88, 4.31
Qtum, 3.8493942852, -0.92, -0.58, 8.14
Decred, 38.344005763, -0.11, -0.97, 4.58
Bitcoin Diamond, 1.9629363941, -0.61, 1.41, 8.63
BitShares, 0.1120515555, -0.29, -1.55, 1.13
Nano, 2.2237045974, -0.31, -0.71, 3.74
Zilliqa, 0.0370491553, -0.32, 1.19, 10.53
DigiByte, 0.024724761, 0.14, 0.89, 3.83
ICON, 0.6752242276, -0.46, -0.4, 8.27
Aeternity, 1.0704086643, -0.09, 1.37, 12.1
Siacoin, 0.0066052181, -0.2, 1.45, 10.43
Steem, 0.878020285, 0.16, -4.53, -5.92
Verge, 0.015480425, -2.08, -7.08, 13.22
Waves, 2.1431407987, -0.16, -2.06, 1.59
Pundi X, 0.0015823873, -1.01, 1.94, 13.49
Bytom, 0.190144664, -0.16, 1.89, 11.71
Basic Attention Token, 0.1735066508, 0.17, 1.3, 11.12
Metaverse ETP, 3.2009845509, -0.06, -3.87, -11.71
Electroneum, 0.0199808376, -0.45, -0.66, 70.1
Stratis, 1.5562012827, -0.79, -2.48, 4.59
Golem, 0.1587227635, -1.1, 3.47, 17.67
Augur, 13.6100704501, 0.08, 0.97, 5.71
Holo, 0.0010240345, -0.01, 2.72, 3.28
Status, 0.0378400382, -0.53, 0.67, 8.42
Komodo, 1.1493080813, -0.4, -2.51, 5.35
Waltonchain, 2.9609736528, 0.14, 0.38, 6.0
Populous, 3.1968592549, -1.45, -0.44, 8.25
Cryptonex, 2.1170838489, -0.46, -1.97, 5.05
ReddCoin, 0.0040662001, -4.16, -8.44, 22.22
Ardor, 0.1169183539, -0.13, -1.21, 5.83
KuCoin Shares, 1.2620781265, -0.63, -2.7, 11.32
Chainlink, 0.3238652998, -0.18, -0.74, -1.93
IOST, 0.0134180439, -1.14, 5.46, 3.71
Mithril, 0.2890548846, -0.57, -0.85, 2.04
MOAC, 1.7748193045, 0.02, -1.29, 2.66
MaidSafeCoin, 0.2406862749, -0.19, -0.14, 2.19
TrueUSD, 1.0031075717, -0.17, -0.09, 0.09
Wanchain, 0.9994299956, -1.26, 2.84, 11.54
ETERNAL TOKEN, 1.7519359157, -0.82, -3.89, 164.32
Aion, 0.4350610837, -0.65, 3.03, 5.32
HyperCash, 2.2295481982, -0.63, -0.62, 3.06
aelf, 0.3655540805, 0.06, 6.7, 11.19
